Current.State,tot.Estimate,tot.MOE,AL.Estimate,AL.MOE,AK.Estimate,AK.MOE,AZ.Estimate,AZ.MOE,AR.Estimate,AR.MOE,CA.Estimate,CA.MOE,CO.Estimate,CO.MOE,CT.Estimate,CT.MOE,DE.Estimate,DE.MOE,DC.Estimate,DC.MOE,FL.Estimate,FL.MOE,GA.Estimate,GA.MOE,HI.Estimate,HI.MOE,ID.Estimate,ID.MOE,IL.Estimate,IL.MOE,IN.Estimate,IN.MOE,IO.Estimate,IO.MOE,KS.Estimate,KS.MOE,KY.Estimate,KY.MOE,LA.Estimate,LA.MOE,ME.Estimate,ME.MOE,MD.Estimate,MD.MOE,MA.Estimate,MA.MOE,MI.Estimate,MI.MOE,MN.Estimate,MN.MOE,MS.Estimate,MS.MOE,MO.Estimate,MO.MOE,MT.Estimate,MT.MOE,NE.Estimate,NE.MOE,NV.Estimate,NV.MOE,NH.Estimate,NH.MOE,NJ.Estimate,NJ.MOE,NM.Estimate,NM.MOE,NY.Estimate,NY.MOE,NC.Estimate,NC.MOE,ND.Estimate,ND.MOE,OH.Estimate,OH.MOE,OK.Estimate,OK.MOE,OR.Estimate,OR.MOE,PA.Estimate,PA.MOE,RI.Estimate,RI.MOE,SC.Estimate,SC.MOE,SD.Estimate,SD.MOE,TN.Estimate,TN.MOE,TX.Estimate,TX.MOE,UT.Estimate,UT.MOE,VT.Estimate,VT.MOE,VA.Estimate,VA.MOE,WA.Estimate,WA.MOE,WV.Estimate,WV.MOE,WI.Estimate,WI.MOE,WY.Estimate,WY.MOE,PR.Estimate,PR.MOE
Georgia,"310,452","14,570","17,506","4,251","1,028",680,"2,706","1,714","2,912","1,568","20,191","3,803","5,154","2,837","3,380","1,415",747,404,"1,475","1,623","55,250","6,273",N/A,N/A,482,437,"2,056","1,172","9,133","2,918","3,422","1,908","1,482","1,078","3,418","1,618","2,671","1,078","6,264","2,241","1,141","1,076","6,244","2,663","1,739",789,"3,945","1,107","2,803","1,387","3,070","2,068","3,814","1,359",237,288,506,800,"2,822","1,535",670,639,"6,339","2,102","2,936","2,258","21,998","6,737","17,310","3,972",57,98,"7,590","2,256","2,067","1,405","1,060",583,"8,763","3,421","1,508","1,273","16,635","3,316",771,482,"17,332","3,909","20,923","3,518","2,184","1,856",0,226,"6,866","1,831","6,050","1,965","1,146",600,"2,649","1,440",0,226,"1,667",971
Hawaii,"58,539","6,014",346,277,"1,135","1,001","1,932",895,152,189,"11,200","2,084","3,359",990,702,543,277,318,773,656,"2,061",847,"1,276",611,N/A,N/A,"1,042","1,402",907,617,0,190,0,190,243,288,489,386,"1,150",508,0,190,"2,699","1,863",182,165,463,338,893,749,0,190,996,855,111,154,0,190,"1,393",753,70,120,59,100,986,610,"1,776",775,"2,816","1,440",0,190,674,537,177,277,"1,443",938,498,341,59,99,820,589,99,163,968,"1,201","3,742","1,306","1,884","1,192",0,190,"3,388","1,589","4,092","1,467",0,190,"1,149","1,201",58,94,29,50
Idaho,"81,708","7,298",380,375,"1,117","1,146","4,026","1,798",533,509,"17,338","3,121","1,851","1,029",436,269,0,197,0,197,921,468,78,108,"1,089",464,N/A,N/A,571,423,830,647,479,465,"1,229","1,501",434,367,0,197,43,76,111,141,260,354,404,249,485,403,136,221,349,317,"2,754","1,141",324,267,"2,025","1,080",0,197,780,778,"1,566","1,141",77,110,"1,187",779,256,183,703,645,670,392,"7,458","2,370",394,417,113,171,97,111,388,283,369,259,"5,526","2,324","5,537","1,734",0,197,"1,290","1,079","14,655","3,489",395,366,229,202,"1,815",992,41,72
Illinois,"203,758","11,393","1,375",721,30,51,"4,417","1,470","2,189",991,"16,460","3,490","5,827","1,819",863,710,60,106,"1,790",950,"19,100","5,126","4,895","1,766","1,168",817,354,372,N/A,N/A,"11,555","2,398","8,326","1,824","1,468",507,"3,162","1,326","1,497","1,094",265,208,"2,512",982,"1,938",722,"10,345","1,808","3,641","1,203","1,894","1,305","14,982","2,934",224,221,"1,229",639,"2,181","1,209",524,484,"2,755","1,385","1,096",582,"8,394","1,959","5,531","1,602",252,299,"4,914","1,466","2,408","1,452","3,381","1,719","3,394","1,011",170,201,"2,084","1,190",140,155,"4,005","1,239","15,227","3,175","1,496",768,"1,057",827,"4,876","1,474","3,100","1,189",968,615,"14,135","2,842",104,125,"1,354",853
Indiana,"150,649","10,067","2,206","1,487",818,768,"2,123","1,138",754,479,"7,740","2,181","3,164","1,085",427,461,121,203,0,208,"14,798","3,257","1,606",783,81,137,0,208,"29,426","5,046",N/A,N/A,854,552,701,529,"12,257","2,798",784,426,24,43,668,358,"1,033",448,"8,137","1,909","1,579","1,579",529,653,"2,691",966,83,114,7,13,"1,022","1,060",340,395,"2,661","1,112",974,"1,171","8,782","4,165","2,634","1,067",353,370,"12,493","2,553",644,513,492,348,"3,117","1,887",47,91,"1,221",760,338,340,"3,310","1,710","9,485","2,928","1,804","1,338",86,156,"4,401","1,920","1,635",905,461,341,"1,738",673,0,208,54,76
Iowa,"73,176","5,958",130,99,209,204,"3,078","1,993",114,140,"4,406","1,519","3,642","1,776",33,51,168,217,186,297,"4,186","1,344",965,618,52,87,703,888,"11,780","1,679",678,421,N/A,N/A,"2,302",962,448,486,"1,605","1,265",154,211,595,543,465,683,"1,496",668,"4,755","1,084",563,596,"3,238","1,129",421,377,"7,341","2,196",906,449,0,172,169,216,20,35,845,737,"1,812",958,99,120,409,417,630,378,460,354,669,536,0,172,299,400,"2,209",774,"1,324",851,"3,634","1,321",99,103,99,172,"1,094",758,"1,022",633,0,172,"3,321",863,343,239,0,172
Kansas,"77,138","5,939",881,710,174,184,"2,365","1,285",884,954,"3,160","1,224","4,591","1,543",92,150,61,103,0,185,"2,737","1,148","1,737","1,200",0,185,925,"1,107","1,906","1,121",846,472,"1,648",753,N/A,N/A,969,854,"1,643",858,0,185,443,322,97,166,"1,369","1,093","1,478",631,326,448,"18,573","2,732",75,112,"3,841","1,303","2,049","1,170",320,342,543,503,267,251,"1,505","1,211",494,457,689,776,"2,050","1,189","3,534","1,146",248,237,"1,176","1,270",21,36,218,171,354,296,"1,480",697,"7,229","1,817",131,165,0,185,"1,827",960,980,697,96,122,609,611,497,342,574,860
Kentucky,"106,797","7,782","1,496","1,137",549,653,"2,484","1,420",373,561,"5,838","2,064","1,858",994,138,184,0,206,133,166,"5,243","1,453","3,491","1,945","1,020",965,610,608,"4,407","1,264","8,310","1,645",577,196,502,284,N/A,N/A,"2,343","1,079",160,251,633,631,245,256,"3,619","2,255",229,234,94,128,"1,734",943,758,564,93,128,"1,445","1,325","3,667","3,746",388,447,0,206,"2,370","1,620","2,452","1,101",0,206,"13,249","2,020","1,451","1,065",396,343,"2,282",956,0,206,"1,126",442,841,"1,138","14,444","2,818","5,471","1,571",259,300,0,206,"2,754","1,478","4,273","2,666","1,565",715,"1,427","1,400",0,206,0,206
Louisiana,"69,464","7,217","2,558","1,194",229,240,669,837,"3,228","1,362","2,424",995,777,500,778,659,0,221,0,221,"4,686","1,408","2,407","1,148",313,388,"1,306",957,"1,289",630,854,866,104,73,789,780,207,239,N/A,N/A,0,221,"1,289",665,"1,025","1,226",257,360,"1,262","1,323","7,272","2,599",977,678,458,448,0,221,"2,865","1,583",166,202,945,"1,118",88,147,532,516,"2,261","1,459","1,345","1,306",453,494,846,"1,197",550,543,533,295,0,221,338,296,830,"1,083","1,883",996,"18,446","4,485",179,266,0,221,"1,188",666,752,562,56,71,50,84,0,221,339,463
Maine,"38,089","4,070",124,207,274,249,375,298,56,97,"1,553",778,"1,178",918,948,413,226,273,0,179,"4,008","2,145",81,117,140,119,16,26,"1,223",535,0,179,0,179,77,123,48,84,18,32,N/A,N/A,700,412,"5,670","1,637",162,210,422,438,654,611,2,7,15,24,30,21,592,560,"5,715","1,638","1,137",660,116,204,"2,330","1,851",609,423,126,168,755,586,0,179,469,611,"1,454",777,528,381,741,439,0,179,467,188,"1,925","1,121",91,104,706,433,"1,022",488,689,482,586,594,31,53,0,179,0,179
