HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,LATITUDE,LONGITUDE,FIPS2020,N_UNITS,LI_UNITS,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,FMHA_515,CREDIT,HOME_AMT,CDBG_AMT,HPVI_AMT,NONPROG,
"PAA20080030","BROADVIEW MANOR APTS","270 BROADWAY","PITCAIRN",PA,"15140",40.401062,-79.783057,"42003522000",72,72,2008,2007,2,2,1,2,,0,0,,,
"PAA20080035","CHATHAM TERRACE APTS","","CHESTER",PA,"",,,"42XXXXXXXXX",48,48,2008,2008,2,1,1,2,,0,0,,,
"PAA20080040","CLARA BALDWIN MANOR","2600 W SUSQUEHANNA AVE","PHILADELPHIA",PA,"19121",39.988626,-75.175983,"42101015102",59,59,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080045","DELAWARE COUNTY FAIRGROUNDS","12 ENGLE ST","CHESTER",PA,"19013",39.832442,-75.382574,"42045410700",73,73,2008,2007,2,1,2,2,2,0,0,,,
"PAA20080050","DIAL APTS","510 SECOND ST","LANCASTER",PA,"17603",40.035196,-76.317757,"42071001000",40,40,2008,2006,2,2,2,2,2,0,0,,,
"PAA20080055","EAST BRADDOCK HSNG DEVELOPMENT","","BRADDOCK",PA,"",,,"42XXXXXXXXX",17,17,2008,2006,1,1,2,2,2,0,0,,,
"PAA20080060","EAST BRADY HEIGHTS","421 KELLYS WAY","EAST BRADY",PA,"16028",40.987138,-79.615916,"42031160701",78,78,2008,2007,2,2,2,2,2,0,0,,,
"PAA20080070","FOX HILL SENIOR APTS PHASE II","101 ROCKRIMMON DR","BELLEFONTE",PA,"16823",40.902556,-77.791153,"42027011002",48,48,2008,2006,2,2,2,2,2,0,0,,,
"PAA20080075","GUILD HOUSE EAST","711 SPRING GARDEN ST","PHILADELPHIA",PA,"19123",39.961654,-75.149923,"42101037600",90,90,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080080","HART PHASE 2A","","ALLENTOWN",PA,"",,,"42XXXXXXXXX",60,60,2008,2007,2,2,2,2,2,0,0,,,
"PAA20080085","JESSUP SENIOR HOUSING","310 CHURCH ST","JESSUP",PA,"18434",41.474967,-75.571665,"42069111300",21,21,2008,2006,1,2,2,2,2,0,0,,,
"PAA20080090","KNITTING MILL ON PEACH ALLEY","239 PINE ST","HAMBURG",PA,"19526",40.552986,-75.985172,"42011013800",27,27,2008,2006,1,2,2,2,2,0,0,,,
"PAA20080095","LAUREL ESTATES","53 LEMONWOOD ACRES","UNIONTOWN",PA,"15401",39.8939,-79.7296,"42051262200",56,56,2008,2007,2,2,2,2,2,0,0,,,
"PAA20080100","DOROTHY LOVELL GARDENS","1821 W DIAMOND ST","PHILADELPHIA",PA,"19121",39.985824,-75.16374,"42101015300",24,24,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080105","LUDLOW SCATTERED SITES","","PHILADELPHIA",PA,"",,,"42XXXXXXXXX",75,75,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080110","MARIAN PLAZA","8601 BRICELYN ST","PITTSBURGH",PA,"15221",40.45873,-79.874184,"42003130600",50,50,2008,2007,2,2,1,2,1,0,0,,,
"PAA20080115","MARTHA A LANG SENIOR CYBER VILLAGE","973 N SEVENTH ST","PHILADELPHIA",PA,"19123",39.968664,-75.148266,"42101014100",56,56,2008,2006,1,1,2,2,2,0,0,,,
"PAA20080120","NELLIE REYNOLDS GARDENS","2663 W GLENWOOD AVE","PHILADELPHIA",PA,"19121",39.985486,-75.178787,"42101015102",64,64,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080125","NEW LIFE AFFORDABLE HOUSING I","","PHILADELPHIA",PA,"",,,"42XXXXXXXXX",43,43,2008,2006,2,1,2,2,,0,0,,,
"PAA20080140","PALISADES PLAZA","5 PALISADES PLZ","RANKIN",PA,"15104",40.413307,-79.882905,"42003514000",89,89,2008,2008,2,1,2,2,2,0,0,,,
"PAA20080145","RIDGE AVENUE SENIOR APTS","358 RIDGE AVE","NEW KENSINGTON",PA,"15068",40.563574,-79.76641,"42129800700",40,40,2008,2008,2,2,2,2,2,0,0,,,
"PAA20080150","RIDGEWOOD GREENE","200 ZAMBORI ST","REYNOLDSVILLE",PA,"15851",41.087327,-78.884065,"42065950700",40,40,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080155","SCHWENCKFELD MEWS","1292 ALLENTOWN RD","LANSDALE",PA,"19446",40.246874,-75.305555,"42091206901",63,63,2008,2006,1,2,2,2,2,0,0,,,
"PAA20080160","SECOND EAST HILLS PHASE III","2303 E HILLS DR","PITTSBURGH",PA,"15221",40.455966,-79.871451,"42003130600",66,66,2008,2006,2,1,2,2,2,0,0,,,
"PAA20080165","SENIOR RESIDENCES@HANOVER SHOE","221 N FRANKLIN ST","HANOVER",PA,"17331",39.802353,-76.987539,"42133022100",24,24,2008,2008,2,2,2,2,2,0,0,,,
"PAA20080170","ST JOHN NEUMANN PLACE","2600 MOORE ST","PHILADELPHIA",PA,"19145",39.930436,-75.188831,"42101003600",75,75,2008,2008,1,1,2,2,2,0,0,,,
"PAA20080175","SUNSET TERRACE TOWNHOUSES","100 VALLEY PINE CT","CHAMBERSBURG",PA,"",39.9743,-77.6161,"42055010402",40,40,2008,2006,2,2,2,2,2,0,0,,,
"PAA20080180","VERSAILLES-ARCHER APTS","3221 VERSAILLES AVE","MCKEESPORT",PA,"15132",40.345235,-79.839572,"42003551200",38,38,2008,2007,2,2,1,2,1,0,0,,,
"PAA20080185","VILLG @ LAURELBROOK LNDNG III","57 VILLAGE LN","BROOKVILLE",PA,"15825",41.154552,-79.096722,"42065950500",13,11,2008,2008,1,2,2,2,2,0,0,,,
"PAA20080190","WALKERS RIDGE","5000 WALKERS TRAIL","GREENSBURG",PA,"15601",40.301928,-79.598139,"42129804801",84,84,2008,2006,2,2,2,2,2,0,0,,,
"PAA20080195","WISTERIA COMMONS","RT390 GRACE AV","CRESCO",PA,"",,,"42XXXXXXXXX",40,40,2008,2008,1,1,2,2,2,0,0,,,
"PAA20080200","WOODCREST RETIREMENT RESIDENCE","1502 WOODCREST AVE","CORAOPOLIS",PA,"15108",40.502791,-80.155949,"42003451300",58,58,2008,2008,2,2,2,2,2,0,0,,,
"PAA20090005","BEDFORD HILL APTS III","","PITTSBURGH",PA,"",,,"42XXXXXXXXX",88,88,2009,2009,2,1,1,2,1,0,0,,,
"PAA20090010","BENET WOODS","RODENBAUGH AVE","PITTSBURGH",PA,"",40.4821,-80.0107,"42003260700",11,11,2009,2007,1,2,2,2,2,0,0,,,
"PAA20090015","CONNOLLY PARK","200 CONNOLLY PARK DR","BEAVER FALLS",PA,"15010",40.75335,-80.331441,"42007601200",32,32,2009,2008,2,1,2,2,2,0,0,,,
"PAA20090020","COUNTRY CLUB APTS","323 AARON LN","LANCASTER",PA,"17601",40.055539,-76.259977,"42071013203",95,88,2009,2007,1,2,2,2,2,0,0,,,
"PAA20090025","ECUMENICAL SENIOR HOUSING","","PITTSTON",PA,"",,,"42XXXXXXXXX",316,314,2009,2008,2,1,1,2,1,0,0,,,
"PAA20090030","ENOLA SROS","400 S ENOLA DR","ENOLA",PA,"17025",40.280268,-76.928223,"42041010100",6,6,2009,2009,1,2,2,2,2,0,0,,,
"PAA20090035","EVELYN SANDERS TOWNHOUSES PHASE I","3000 N PERCY ST","PHILADELPHIA",PA,"19133",39.99793,-75.14579,"42101017500",40,40,2009,2007,1,1,2,2,2,0,0,,,
"PAA20090040","GLEN OAKS HOUSING II","OLD RTE 119","INDIANA",PA,"15701",40.6267,-79.161,"42063961000",10,10,2009,2008,1,2,2,2,2,0,0,,,
"PAA20090045","HARRIET BEECHER STOWE","830 CROWN AVE","SCRANTON",PA,"18505",41.392908,-75.660317,"42069102700",18,18,2009,2007,1,1,2,2,2,0,0,,,
"PAA20090050","MIFFLIN MILLS TOWNHOMES","","LEBANON",PA,"17046",40.3672,-76.3827,"42075002702",20,20,2009,2008,1,2,2,2,2,0,0,,,
"PAA20090055","NEW LIFE AFFORDABLE HOUSING II","","PHILADELPHIA",PA,"",,,"42XXXXXXXXX",39,39,2009,2007,2,1,2,2,2,0,0,,,
"PAA20090060","NICHOLS COURT","900 NICHOLS PL","WILLIAMSPORT",PA,"17701",41.240827,-77.021119,"42081000400",24,24,2009,2008,2,1,2,2,2,0,0,,,
"PAA20090065","NORTHEAST I-KEYSTONE","6424 KEYSTONE ST","PHILADELPHIA",PA,"19135",40.018582,-75.050543,"42101032300",23,23,2009,2007,2,2,2,2,2,0,0,,,
"PAA20090070","NORTHEAST II-DITMAN","8020 DITMAN ST","PHILADELPHIA",PA,"19136",40.036892,-75.025055,"42101032900",34,34,2009,2007,2,2,2,2,2,0,0,,,
"PAA20090075","OAK RIDGE TOWNHOUSES","147 OAK RIDGE DR","TOWANDA",PA,"18848",41.780509,-76.454035,"42015950900",40,40,2009,2009,1,2,2,2,2,0,0,,,
"PAA20090080","PARKSIDE MANOR","95 ROCKEY LN","MONTOURSVILLE",PA,"17754",41.256122,-76.926831,"42081011000",28,28,2009,2007,1,1,2,2,2,0,0,,,
"PAA20090085","PENSDALE II","4200 MITCHELL ST","PHILADELPHIA",PA,"19128",40.028095,-75.212799,"42101021000",38,38,2009,2007,1,2,2,2,2,0,0,,,
"PAA20090090","SKYVIEW PARK APTS","43 CROWN CIR DR","SCRANTON",PA,"18505",41.382163,-75.669805,"42069102900",188,188,2009,2009,2,1,2,1,2,0,0,,,
"PAA20090095","SPRING GARDEN COMM REVTLZTN II","601 N 17TH ST","PHILADELPHIA",PA,"19130",39.96505,-75.1656,"42101013300",58,58,2009,2007,1,1,1,2,1,0,0,,,
"PAA20090100","SURREY HILL APTS","","UNIONTOWN",PA,"15401",39.8939,-79.7296,"42051262200",70,70,2009,2009,2,1,2,2,2,0,0,,,
"PAA20090105","CENTURY BUILDING","134 S SEVENTH ST","PITTSBURGH",PA,"15203",40.428312,-79.992453,"42003170200",60,28,2009,2007,2,1,2,2,2,0,0,,,
"PAA20090110","UNIONTOWN FAMILY HOMES","","UNIONTOWN",PA,"",,,"42XXXXXXXXX",30,30,2009,2007,1,1,2,2,2,0,0,,,
"PAA20090115","VILLAGE AT BRIERWOOD III","HAWTHORNE LN","SOMERSET",PA,"",40.0141,-79.1336,"42111020801",20,20,2009,2008,1,2,2,2,2,0,0,,,
"PAA20090120","WESTMINSTER PLACE @ PARKESBURG","320 W FIRST AVE","PARKESBURG",PA,"19365",39.959091,-75.917336,"42029307400",72,72,2009,2007,1,2,2,2,2,0,0,,,
"PAA20100005","ALLEGHENY POINTE","622 CEDAR RIDGE DR","APOLLO",PA,"15613",40.584097,-79.589729,"42129801200",52,52,2010,2009,2,2,2,1,2,0,0,0,,
"PAA20100010","BRADDOCK SENIOR HOUSING","313 BRADDOCK AVE","BRADDOCK",PA,"15104",40.405493,-79.871945,"42003513800",53,53,2010,2010,2,1,2,2,2,0,0,0,,
"PAA20100015","CANNERY POINT","16TH ST","NORTHUMBERLAND",PA,"17857",40.8954,-76.7937,"42097080600",24,24,2010,2009,2,2,2,2,4,0,0,0,,
"PAA20100020","CHAMBERSBURG SENIOR HOUSING","78 W WASHINGTON ST","CHAMBERSBURG",PA,"17201",39.934373,-77.663809,"42055011000",32,32,2010,2009,1,1,2,2,4,0,0,0,,
"PAA20100025","DELAWARE COUNTY FAIRGROUNDS II","12TH ENGLE STS","CHESTER",PA,"19013",39.832442,-75.382574,"42045410700",71,71,2010,2009,2,1,2,2,2,0,0,0,,
"PAA20100030","EMERSON SOUTHGATE APTS","3 LACKAWANNA AVE","HALLSTEAD",PA,"18822",41.959661,-75.745337,"42115032200",24,24,2010,2009,1,2,2,2,4,0,0,0,,
"PAA20100035","EVA P MITCHELL RESIDENCE","1621 LINCOLN AVE","PITTSBURGH",PA,"15206",40.471126,-79.892268,"42003561900",79,79,2010,2009,2,1,1,2,1,0,0,0,,
"PAA20100040","FRASER HALL APTS","500 HUNTER ST","TURTLE CREEK",PA,"15145",40.406276,-79.828598,"42003509400",72,72,2010,2008,1,2,2,2,2,0,0,0,,
"PAA20100045","GARDEN COURT","520 E END AVE","LANCASTER",PA,"17602",40.037643,-76.294168,"42071000800",264,252,2010,2009,2,1,2,2,4,0,0,0,,
"PAA20100050","GARFIELD HEIGHTS PHASE II","SCHENLEYFERN & COLUMBO STS","PITTSBURGH",PA,"",,,"42XXXXXXXXX",45,35,2010,2008,2,1,2,2,2,0,0,0,,
"PAA20100055","HOPEWELL COURTYARD","14 S HILL ST","STEWARTSTOWN",PA,"17363",39.750604,-76.593697,"42133023903",96,,2010,2009,1,2,2,2,2,0,0,0,,
"PAA20100060","LIGHTNER GREENE","3296 MITCHELL RD","NEW CASTLE",PA,"16105",41.063211,-80.337391,"42073010201",50,50,2010,2010,2,2,2,2,4,0,0,0,,
"PAA20100065","MADISON GROVE","331 GROVE CITY RD","SLIPPERY ROCK",PA,"16057",41.076885,-80.051891,"42019910400",50,50,2010,2009,2,1,2,2,4,0,0,0,,
"PAA20100070","MISTY RIDGE TERRACE","25 BRIDGE VALLEY RD","GETTYSBURG",PA,"17325",39.72808,-77.217602,"42001031201",46,46,2010,2009,1,2,2,2,4,0,0,0,,
"PAA20100075","NORTH HILLS HIGHLANDS","110 MCINTYRE RD","PITTSBURGH",PA,"15237",40.551222,-80.016367,"42003429201",60,,2010,2008,2,2,2,2,2,0,0,0,,
"PAA20100080","OPERA HOUSE SENIOR APTS","207 E MAIN ST","LOCK HAVEN",PA,"17745",41.137085,-77.443391,"42035030600",20,20,2010,2008,2,1,2,2,2,0,0,0,,
"PAA20100085","ORCHARD HILL II","BROWN RD","INDIANA",PA,"",40.6267,-79.161,"42063961000",40,40,2010,2009,1,2,2,2,2,0,0,0,,
"PAA20100090","PARK AVENUE APTS","255 PARK AVE","LANCASTER",PA,"17602",40.04729,-76.301191,"42071000300",24,24,2010,2009,1,2,2,2,2,0,0,0,,
"PAA20100095","PENTECOSTAL SQUARE","325 PUSEY ST","CHESTER",PA,"19013",39.843036,-75.371696,"42045410700",69,69,2010,2009,2,2,2,2,4,0,0,0,,
"PAA20100100","RAYSTOWN CROSSING","1000 RAYSTOWN CIR","SHIPPENSBURG",PA,"17257",40.0531,-77.5158,"42055010200",50,50,2010,2009,2,2,2,2,4,0,0,0,,
"PAA20100105","ROYMAR HALL APTS","1128 E LINCOLN HWY","COATESVILLE",PA,"19320",39.986554,-75.80233,"42029305700",24,24,2010,2010,1,2,2,2,4,0,0,0,,
"PAA20100110","SISTERS OF ST JOSEPH","1020 W STATE ST","BADEN",PA,"15005",40.648028,-80.23353,"42007603700",23,23,2010,2010,2,2,2,2,2,0,0,0,,
"PAA20100115","SKYLINE HEIGHTS","RT 209","EAST STROUDSBURG",PA,"",,,"42XXXXXXXXX",42,42,2010,2008,1,1,2,2,2,0,0,0,,
"PAA20100120","SOUTH HILLS RETIREMENT RES","125 RUTH ST","PITTSBURGH",PA,"15211",40.423444,-80.00479,"42003180700",106,84,2010,2008,2,2,2,2,2,0,0,0,,
"PAA20100125","VALLEY VIEW V","VALLEY VIEW DR","FORD CITY",PA,"",40.716,-79.4596,"42005950800",20,20,2010,2010,1,2,2,2,2,0,0,0,,
"PAA20100130","VILLAGE AT SOMERSET","1200 VILLAGE WAY","SOMERSET",PA,"15501",39.993362,-79.086686,"42111021000",100,100,2010,2009,2,2,2,2,4,0,0,0,,
"PAA20100135","WESTMINSTER PLACE@WINDY HILL","225 DOGWOOD DR","PHILIPSBURG",PA,"16866",40.906606,-78.204169,"42027010400",36,30,2010,2009,1,2,2,2,2,0,0,0,,
"PAA20100140","WEST PHILADELPHIA REAL ESTATE (WPRE)","","PHILADELPHIA",PA,"",,,"42XXXXXXXXX",20,20,2010,2010,2,1,2,2,4,0,0,0,,
"PAA20100145","YORK COMMONS","4003 PENN AVE","PITTSBURGH",PA,"15224",40.46551,-79.957171,"42003090200",102,97,2010,2008,1,1,2,2,2,0,0,0,,
"PAA20109146","CHAMBERSBURG FAMILY TOWNHOMES","","CHAMBERSBURG",PA,"17201",39.9349,-77.6443,"42055010900",40,40,2010,2011,,,,,4,,,,,
"PAA20109147","CLOVER HILL ESTATES","40 CLOVERLEAF LN","BERWICK",PA,"18603",41.052999,-76.250943,"42037050700",24,24,2010,2011,,,,,4,,,,,
"PAA20109148","DELAWARE TERRACE-FAMILY RENTAL","210 JONES HOUSTON WAY","EASTON",PA,"18042",40.622,-75.2088,"42095014500",56,56,2010,2012,,,,,4,,,,,
"PAA20109149","EDGEMONT SENIOR APTS","1001 AVE OF THE STATES","CHESTER",PA,"19013",39.854844,-75.360591,"42045405000",87,87,2010,2012,,,,,4,,,,,
"PAA20109150","FAIRVIEW FAMILY HOMES","4030 EVERGREEN TRAIL","FAIRVIEW",PA,"16415",42.033338,-80.247488,"42049010303",25,25,2010,2011,,,,,4,,,,,
